feature,importance
morgan_789,0.0
morgan_788,0.0
morgan_785,0.0
morgan_784,0.0
morgan_815,0.0
morgan_814,0.0
morgan_813,0.0
morgan_812,0.0
morgan_811,0.0
morgan_810,0.0
morgan_809,0.0
morgan_808,0.0
morgan_807,0.0
morgan_805,0.0
morgan_803,0.0
morgan_802,0.0
morgan_801,0.0
morgan_831,0.0
morgan_830,0.0
morgan_829,0.0
morgan_827,0.0
morgan_825,0.0
morgan_824,0.0
morgan_823,0.0
morgan_822,0.0
morgan_821,0.0
morgan_820,0.0
morgan_819,0.0
morgan_818,0.0
morgan_817,0.0
morgan_816,0.0
morgan_846,0.0
morgan_845,0.0
morgan_844,0.0
morgan_843,0.0
morgan_842,0.0
morgan_841,0.0
morgan_840,0.0
morgan_839,0.0
morgan_838,0.0
morgan_837,0.0
morgan_836,0.0
morgan_835,0.0
morgan_834,0.0
morgan_833,0.0
morgan_832,0.0
morgan_863,0.0
morgan_862,0.0
morgan_861,0.0
morgan_860,0.0
morgan_859,0.0
morgan_858,0.0
morgan_857,0.0
morgan_856,0.0
morgan_855,0.0
morgan_854,0.0
morgan_853,0.0
morgan_852,0.0
morgan_851,0.0
morgan_850,0.0
morgan_849,0.0
morgan_848,0.0
morgan_879,0.0
morgan_878,0.0
morgan_877,0.0
morgan_876,0.0
morgan_874,0.0
morgan_873,0.0
morgan_871,0.0
morgan_870,0.0
morgan_869,0.0
morgan_868,0.0
morgan_867,0.0
morgan_866,0.0
morgan_865,0.0
morgan_864,0.0
morgan_895,0.0
morgan_894,0.0
morgan_893,0.0
morgan_892,0.0
morgan_891,0.0
morgan_890,0.0
morgan_889,0.0
morgan_887,0.0
morgan_886,0.0
morgan_885,0.0
morgan_884,0.0
morgan_19,0.0
morgan_18,0.0
morgan_17,0.0
morgan_16,0.0
morgan_47,0.0
morgan_46,0.0
morgan_44,0.0
morgan_42,0.0
morgan_41,0.0
morgan_40,0.0
morgan_39,0.0
morgan_38,0.0
morgan_37,0.0
morgan_36,0.0
morgan_883,0.0
morgan_882,0.0
morgan_880,0.0
morgan_911,0.0
morgan_910,0.0
morgan_909,0.0
morgan_908,0.0
morgan_907,0.0
morgan_906,0.0
morgan_905,0.0
morgan_904,0.0
morgan_903,0.0
morgan_902,0.0
morgan_901,0.0
morgan_900,0.0
morgan_899,0.0
morgan_898,0.0
morgan_897,0.0
morgan_896,0.0
morgan_927,0.0
morgan_925,0.0
morgan_924,0.0
morgan_923,0.0
morgan_922,0.0
morgan_921,0.0
morgan_920,0.0
morgan_919,0.0
morgan_918,0.0
morgan_916,0.0
